frame_number,timestamp,class_name,class_id,confidence,x1,y1,x2,y2,box_width,box_height,frame_width,frame_height
131,32.701,person,0,0.6174,0,53,578,478,578,425,640,480
132,32.953,person,0,0.5803,0,59,532,479,532,420,640,480
133,33.21,person,0,0.6898,0,65,537,479,537,414,640,480
134,33.492,person,0,0.5564,0,61,477,478,477,417,640,480
135,33.744,person,0,0.6894,0,53,588,479,588,426,640,480
135,33.744,remote,65,0.5053,362,85,567,417,205,332,640,480
136,33.989,remote,65,0.6224,372,97,567,427,195,330,640,480
136,33.989,person,0,0.571,1,79,429,479,428,400,640,480
137,34.232,person,0,0.7542,1,91,458,479,457,388,640,480
138,34.482,person,0,0.683,1,94,477,479,476,385,640,480
139,34.76,person,0,0.7205,1,86,472,479,471,393,640,480
140,35.036,person,0,0.727,1,84,455,479,454,395,640,480
141,35.304,person,0,0.7208,0,90,448,479,448,389,640,480
142,35.594,person,0,0.7206,0,92,411,478,411,386,640,480
143,35.886,person,0,0.6032,0,84,467,479,467,395,640,480
144,36.159,person,0,0.7516,0,75,473,479,473,404,640,480
145,36.404,person,0,0.8465,0,36,511,480,511,444,640,480
145,36.404,cell phone,67,0.644,272,145,364,244,92,99,640,480
146,36.657,person,0,0.8177,0,49,504,479,504,430,640,480
146,36.657,cell phone,67,0.5818,258,137,356,220,98,83,640,480
147,36.936,person,0,0.8372,0,50,533,479,533,429,640,480
148,37.214,person,0,0.8021,0,37,530,480,530,443,640,480
149,37.491,person,0,0.8366,0,52,503,480,503,428,640,480
149,37.491,cell phone,67,0.635,251,145,355,295,104,150,640,480
150,37.765,person,0,0.8323,0,54,502,480,502,426,640,480
150,37.765,cell phone,67,0.7552,253,148,353,317,100,169,640,480
151,38.024,person,0,0.8375,0,51,522,479,522,428,640,480
152,38.285,person,0,0.8396,0,54,451,479,451,425,640,480
153,38.573,person,0,0.8571,0,40,440,479,440,439,640,480
154,38.864,person,0,0.8435,0,34,436,478,436,444,640,480
155,39.165,person,0,0.8304,0,30,457,479,457,449,640,480
156,39.425,person,0,0.8488,1,17,414,478,413,461,640,480
157,39.692,person,0,0.7703,1,26,466,478,465,452,640,480
158,39.94,person,0,0.753,1,25,550,480,549,455,640,480
159,40.185,person,0,0.774,0,16,493,479,493,463,640,480
160,40.454,person,0,0.8588,1,19,469,479,468,460,640,480
160,40.454,cell phone,67,0.6825,182,72,394,339,212,267,640,480
161,40.714,cell phone,67,0.7941,188,75,408,345,220,270,640,480
161,40.714,person,0,0.7815,0,31,417,479,417,448,640,480
162,40.965,cell phone,67,0.8221,194,81,407,357,213,276,640,480
162,40.965,person,0,0.7755,0,24,463,478,463,454,640,480
163,41.227,person,0,0.7788,1,24,438,479,437,455,640,480
163,41.227,cell phone,67,0.5968,223,79,432,354,209,275,640,480
164,41.491,person,0,0.8078,1,27,418,478,417,451,640,480
164,41.491,cell phone,67,0.6085,218,82,427,346,209,264,640,480
165,41.755,person,0,0.8079,1,29,424,478,423,449,640,480
166,42.0,person,0,0.7762,1,31,430,478,429,447,640,480
167,42.252,person,0,0.8075,1,28,426,478,425,450,640,480
167,42.252,cell phone,67,0.5869,219,82,429,351,210,269,640,480
168,42.505,person,0,0.7728,1,23,439,479,438,456,640,480
168,42.505,cell phone,67,0.6036,220,79,438,361,218,282,640,480
169,42.752,person,0,0.8031,0,16,470,479,470,463,640,480
169,42.752,cell phone,67,0.5159,218,77,427,378,209,301,640,480
170,42.995,person,0,0.8638,1,27,409,479,408,452,640,480
171,43.269,person,0,0.7892,0,3,481,479,481,476,640,480
172,43.549,person,0,0.8231,0,1,504,479,504,478,640,480
173,43.839,person,0,0.7471,0,2,508,479,508,477,640,480
174,44.103,person,0,0.7827,1,0,536,479,535,479,640,480
175,44.378,person,0,0.5599,4,0,617,479,613,479,640,480
176,44.671,mouse,64,0.6059,0,245,192,420,192,175,640,480
177,44.987,person,0,0.9317,3,0,638,478,635,478,640,480
178,45.258,person,0,0.888,0,0,638,479,638,479,640,480
179,45.516,person,0,0.9248,0,0,636,477,636,477,640,480
180,45.76,person,0,0.8952,2,0,563,479,561,479,640,480
181,46.006,person,0,0.7363,0,0,611,479,611,479,640,480
182,46.269,person,0,0.8863,1,0,626,479,625,479,640,480
183,46.533,person,0,0.6233,0,0,612,479,612,479,640,480
184,46.79,person,0,0.7537,0,6,565,479,565,473,640,480
185,47.05,person,0,0.9201,1,25,536,479,535,454,640,480
186,47.308,person,0,0.6168,0,2,565,479,565,477,640,480
187,47.568,person,0,0.882,0,2,579,479,579,477,640,480
188,47.829,person,0,0.9066,0,0,601,479,601,479,640,480
189,48.085,person,0,0.8924,0,0,631,479,631,479,640,480
190,48.315,person,0,0.8945,0,1,637,479,637,478,640,480
191,48.564,person,0,0.8839,0,20,630,479,630,459,640,480
192,48.817,person,0,0.8777,1,5,628,479,627,474,640,480
193,49.062,person,0,0.8642,0,3,623,479,623,476,640,480
194,49.317,person,0,0.8893,0,8,583,478,583,470,640,480
195,49.562,person,0,0.5805,0,0,530,478,530,478,640,480
197,50.072,person,0,0.8418,0,38,563,479,563,441,640,480
198,50.326,person,0,0.7873,6,12,566,477,560,465,640,480
199,50.583,person,0,0.7443,2,0,626,479,624,479,640,480
200,50.837,person,0,0.5725,1,69,397,479,396,410,640,480
201,51.09,person,0,0.8038,0,55,405,479,405,424,640,480
205,52.141,cat,15,0.5552,120,243,287,479,167,236,640,480
209,53.147,person,0,0.6783,3,1,627,478,624,477,640,480
210,53.417,person,0,0.6983,3,0,616,479,613,479,640,480
211,53.687,person,0,0.787,0,2,530,478,530,476,640,480
212,53.951,person,0,0.7663,0,0,609,479,609,479,640,480
213,54.218,person,0,0.882,2,0,631,479,629,479,640,480
214,54.49,person,0,0.8198,14,17,576,478,562,461,640,480
215,54.749,person,0,0.7856,5,100,594,479,589,379,640,480
216,55.009,person,0,0.8403,3,12,560,479,557,467,640,480
217,55.296,person,0,0.7806,0,16,614,479,614,463,640,480
218,55.581,person,0,0.7758,0,30,594,478,594,448,640,480
219,55.845,person,0,0.6465,0,33,471,480,471,447,640,480
220,56.109,person,0,0.7281,0,47,584,480,584,433,640,480
221,56.388,person,0,0.7625,1,52,557,479,556,427,640,480
222,56.655,person,0,0.7499,0,53,518,480,518,427,640,480
223,56.938,person,0,0.7601,0,54,569,479,569,425,640,480
224,57.228,person,0,0.8107,0,55,564,479,564,424,640,480
225,57.486,person,0,0.7753,0,47,578,479,578,432,640,480
226,57.742,person,0,0.7034,0,55,518,478,518,423,640,480
227,58.0,person,0,0.7173,0,9,558,479,558,470,640,480
228,58.296,person,0,0.7016,0,54,549,479,549,425,640,480
229,58.583,person,0,0.7407,0,58,567,479,567,421,640,480
230,58.863,person,0,0.5662,0,36,536,480,536,444,640,480
231,59.139,person,0,0.5471,0,27,542,479,542,452,640,480
232,59.397,cat,15,0.5639,353,58,593,470,240,412,640,480
233,59.655,cat,15,0.8394,405,48,625,461,220,413,640,480
236,60.438,person,0,0.7331,1,86,555,479,554,393,640,480
237,60.711,person,0,0.7539,0,77,577,480,577,403,640,480
238,60.975,person,0,0.5058,0,27,480,479,480,452,640,480
239,61.256,person,0,0.7646,0,47,551,479,551,432,640,480
240,61.527,person,0,0.8013,0,51,528,478,528,427,640,480
241,61.806,person,0,0.7931,0,45,532,478,532,433,640,480
241,61.806,cell phone,67,0.708,398,68,547,340,149,272,640,480
242,62.082,person,0,0.8054,0,47,535,478,535,431,640,480
243,62.36,person,0,0.6128,3,32,536,478,533,446,640,480
244,62.633,person,0,0.7381,1,48,547,479,546,431,640,480
245,62.907,person,0,0.7894,2,50,516,478,514,428,640,480
246,63.174,person,0,0.635,1,29,551,479,550,450,640,480
247,63.446,person,0,0.8032,0,51,528,479,528,428,640,480
248,63.713,person,0,0.8038,0,50,495,478,495,428,640,480
249,63.985,cell phone,67,0.8261,395,73,544,350,149,277,640,480
249,63.985,person,0,0.7698,0,50,544,478,544,428,640,480
250,64.257,person,0,0.775,0,44,527,478,527,434,640,480
251,64.5,person,0,0.7845,0,46,542,478,542,432,640,480
252,64.732,person,0,0.8057,0,49,524,478,524,429,640,480
253,64.954,person,0,0.798,0,46,539,478,539,432,640,480
254,65.176,person,0,0.7793,0,46,544,478,544,432,640,480
255,65.406,person,0,0.7938,0,46,537,478,537,432,640,480
256,65.684,person,0,0.7965,0,42,535,479,535,437,640,480
257,65.949,cell phone,67,0.8719,400,73,550,350,150,277,640,480
257,65.949,person,0,0.7996,0,44,541,478,541,434,640,480
258,66.202,person,0,0.7914,0,51,545,478,545,427,640,480
258,66.202,cell phone,67,0.7848,398,75,553,347,155,272,640,480
259,66.433,person,0,0.7766,0,50,533,478,533,428,640,480
259,66.433,cell phone,67,0.7155,400,76,569,345,169,269,640,480
260,66.663,person,0,0.7634,0,48,519,478,519,430,640,480
261,66.922,person,0,0.7828,0,48,526,478,526,430,640,480
262,67.191,person,0,0.7737,0,50,540,478,540,428,640,480
262,67.191,cell phone,67,0.5543,399,76,555,350,156,274,640,480
263,67.468,person,0,0.7579,0,50,530,478,530,428,640,480
264,67.728,person,0,0.7741,0,47,507,477,507,430,640,480
264,67.728,cell phone,67,0.7226,397,77,551,358,154,281,640,480
265,68.023,person,0,0.747,0,48,547,478,547,430,640,480
265,68.023,cell phone,67,0.5806,397,74,550,364,153,290,640,480
266,68.305,person,0,0.76,0,49,535,478,535,429,640,480
266,68.305,cell phone,67,0.6491,394,76,553,355,159,279,640,480
267,68.586,person,0,0.7842,0,47,533,478,533,431,640,480
267,68.586,cell phone,67,0.7156,396,76,547,358,151,282,640,480
268,68.852,person,0,0.777,0,49,519,478,519,429,640,480
268,68.852,cell phone,67,0.6203,396,78,553,354,157,276,640,480
269,69.131,person,0,0.7516,0,49,519,478,519,429,640,480
269,69.131,cell phone,67,0.7415,396,79,551,356,155,277,640,480
270,69.478,person,0,0.7853,0,47,558,477,558,430,640,480
270,69.478,cell phone,67,0.7054,396,80,549,360,153,280,640,480
271,69.78,person,0,0.8004,0,50,528,477,528,427,640,480
271,69.78,cell phone,67,0.7666,396,79,550,358,154,279,640,480
272,70.06,person,0,0.7722,0,46,549,478,549,432,640,480
272,70.06,cell phone,67,0.5883,396,80,548,357,152,277,640,480
273,70.364,person,0,0.7869,0,49,539,477,539,428,640,480
273,70.364,cell phone,67,0.6675,395,80,553,361,158,281,640,480
274,70.665,person,0,0.7671,0,47,516,477,516,430,640,480
274,70.665,cell phone,67,0.6638,395,79,549,358,154,279,640,480
275,70.956,person,0,0.7794,0,47,527,478,527,431,640,480
275,70.956,cell phone,67,0.6816,395,78,547,356,152,278,640,480
276,71.25,person,0,0.7743,0,47,540,478,540,431,640,480
276,71.25,cell phone,67,0.6406,393,77,546,362,153,285,640,480
277,71.546,cell phone,67,0.86,395,77,548,356,153,279,640,480
277,71.546,person,0,0.7897,0,47,545,478,545,431,640,480
278,71.828,person,0,0.7485,0,47,530,478,530,431,640,480
278,71.828,cell phone,67,0.5906,395,80,549,363,154,283,640,480
279,72.121,cell phone,67,0.8012,395,80,548,359,153,279,640,480
279,72.121,person,0,0.7543,0,49,553,477,553,428,640,480
280,72.425,person,0,0.7506,0,47,526,478,526,431,640,480
280,72.425,cell phone,67,0.6459,395,80,549,362,154,282,640,480
281,72.719,person,0,0.772,0,49,536,478,536,429,640,480
281,72.719,cell phone,67,0.6129,395,81,550,362,155,281,640,480
282,73.003,person,0,0.7261,0,45,513,478,513,433,640,480
282,73.003,cell phone,67,0.6408,395,82,552,365,157,283,640,480
283,73.293,person,0,0.7676,0,51,552,478,552,427,640,480
283,73.293,cell phone,67,0.6587,396,81,550,364,154,283,640,480
284,73.585,person,0,0.7666,0,49,505,477,505,428,640,480
284,73.585,cell phone,67,0.5739,395,80,556,359,161,279,640,480
285,73.877,cell phone,67,0.8797,395,78,548,360,153,282,640,480
285,73.877,person,0,0.7647,0,49,522,478,522,429,640,480
286,74.163,person,0,0.769,0,50,535,477,535,427,640,480
286,74.163,cell phone,67,0.5815,394,79,549,362,155,283,640,480
287,74.441,person,0,0.7578,0,45,540,478,540,433,640,480
287,74.441,cell phone,67,0.5602,394,83,544,371,150,288,640,480
288,74.748,person,0,0.7575,0,48,540,478,540,430,640,480
289,75.055,person,0,0.7193,0,41,577,478,577,437,640,480
290,75.357,person,0,0.795,0,38,540,479,540,441,640,480
291,75.654,person,0,0.8008,0,28,525,479,525,451,640,480
292,75.981,person,0,0.7239,0,17,588,479,588,462,640,480
293,76.304,person,0,0.836,0,21,548,479,548,458,640,480
294,76.614,person,0,0.8247,0,19,547,479,547,460,640,480
295,76.903,person,0,0.8274,0,13,563,478,563,465,640,480
296,77.198,person,0,0.7411,0,15,584,479,584,464,640,480
297,77.51,person,0,0.8025,0,17,564,479,564,462,640,480
298,77.824,person,0,0.8307,1,15,586,479,585,464,640,480
299,78.153,person,0,0.795,0,19,606,478,606,459,640,480
299,78.153,person,0,0.5104,398,55,616,479,218,424,640,480
300,78.469,person,0,0.7824,0,15,581,478,581,463,640,480
301,78.769,person,0,0.7335,1,21,576,478,575,457,640,480
302,79.074,person,0,0.7758,0,23,592,478,592,455,640,480
303,79.39,person,0,0.7611,0,24,598,478,598,454,640,480
304,79.684,person,0,0.79,0,25,595,478,595,453,640,480
305,79.989,person,0,0.7847,0,24,557,479,557,455,640,480
306,80.667,person,0,0.7467,1,24,591,478,590,454,640,480
307,81.184,person,0,0.7414,0,26,588,478,588,452,640,480
308,81.67,person,0,0.6966,1,18,529,479,528,461,640,480
309,82.039,person,0,0.7963,0,18,459,479,459,461,640,480
310,82.311,person,0,0.6945,0,15,432,479,432,464,640,480
311,82.56,person,0,0.7537,0,15,554,479,554,464,640,480
312,82.782,person,0,0.7457,0,14,558,479,558,465,640,480
313,83.04,person,0,0.7942,0,14,612,479,612,465,640,480
314,83.28,person,0,0.8129,0,14,529,479,529,465,640,480
315,83.5,person,0,0.7964,1,13,605,479,604,466,640,480
316,83.727,person,0,0.7813,1,15,605,479,604,464,640,480
317,83.983,person,0,0.7511,1,16,615,479,614,463,640,480
318,84.237,person,0,0.773,0,12,610,479,610,467,640,480
319,84.491,person,0,0.8404,0,14,600,480,600,466,640,480
320,84.754,person,0,0.8666,0,11,590,480,590,469,640,480
321,85.018,person,0,0.8614,0,11,584,480,584,469,640,480
322,85.283,person,0,0.8549,0,8,590,480,590,472,640,480
323,85.525,person,0,0.8547,0,9,594,480,594,471,640,480
324,85.793,person,0,0.8544,0,10,586,480,586,470,640,480
325,86.126,person,0,0.7245,0,12,609,480,609,468,640,480
326,86.485,person,0,0.8127,1,13,625,479,624,466,640,480
327,86.76,person,0,0.824,0,5,578,480,578,475,640,480
327,86.76,person,0,0.6404,0,15,221,477,221,462,640,480
328,87.029,person,0,0.706,2,8,602,479,600,471,640,480
329,87.263,person,0,0.5155,0,19,402,479,402,460,640,480
330,87.51,person,0,0.8013,1,106,578,479,577,373,640,480
331,87.79,person,0,0.7529,1,12,579,478,578,466,640,480
332,88.099,person,0,0.5933,0,15,543,479,543,464,640,480
333,88.404,person,0,0.5737,6,15,577,479,571,464,640,480
334,88.65,person,0,0.5832,37,100,573,478,536,378,640,480
335,88.881,person,0,0.8386,0,11,599,479,599,468,640,480
336,89.137,person,0,0.8052,0,11,578,479,578,468,640,480
337,89.379,person,0,0.7638,2,7,586,478,584,471,640,480
339,89.867,person,0,0.5097,0,6,366,479,366,473,640,480
340,90.136,person,0,0.782,0,11,300,478,300,467,640,480
341,90.39,remote,65,0.9118,268,0,527,316,259,316,640,480
341,90.39,person,0,0.7721,0,2,484,478,484,476,640,480
342,90.63,person,0,0.7347,0,7,499,479,499,472,640,480
343,90.859,person,0,0.7553,0,4,490,479,490,475,640,480
